Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-2021-00000,2021-06-28,2021-07-01,Second Class,CUST-0016,Jessica Garcia,Consumer,United States,San Diego,California,West,PROD-FUR-9269,Furniture,Tables,Conference Table,349.74,1,0.0,26.41
ORD-2022-00001,2022-03-28,2022-04-03,Standard Class,CUST-0004,Jennifer Davis,Consumer,United States,Philadelphia,Pennsylvania,East,PROD-OFF-1283,Office Supplies,Binders,Spiral Notebook,65.77,2,0.1,14.65
ORD-2023-00002,2023-01-06,2023-01-10,First Class,CUST-0136,Jessica Garcia,Consumer,United States,Memphis,Tennessee,South,PROD-TEC-2686,Technology,Computers,HP Spectre,215.66,1,0.0,56.32
ORD-2023-00003,2023-01-11,2023-01-16,Second Class,CUST-0036,Jessica Garcia,Consumer,United States,New Orleans,Louisiana,South,PROD-FUR-8739,Furniture,Chairs,Executive Chair,1287.65,3,0.2,-25.21
ORD-2023-00004,2023-01-18,2023-01-24,Standard Class,CUST-0108,Linda Anderson,Home Office,United States,Richmond,Virginia,East,PROD-TEC-7097,Technology,Phones,OnePlus 11,151.53,1,0.2,7.09
ORD-2023-00005,2023-02-17,2023-02-24,Standard Class,CUST-0353,Richard Harris,Home Office,United States,Austin,Texas,Central,PROD-OFF-1283,Office Supplies,Binders,Spiral Notebook,117.03,3,0.0,32.65
ORD-2022-00006,2022-10-07,2022-10-13,Standard Class,CUST-0203,Robert Smith,Home Office,United States,Richmond,Virginia,East,PROD-TEC-9124,Technology,Phones,Google Pixel 7,775.94,2,0.0,112.9
ORD-2023-00007,2023-03-29,2023-04-03,Standard Class,CUST-0261,James Wilson,Corporate,United States,Raleigh,North Carolina,South,PROD-TEC-2686,Technology,Computers,HP Spectre,1022.92,3,0.1,202.55
ORD-2023-00008,2023-08-17,2023-08-22,Second Class,CUST-0006,Patricia Johnson,Home Office,United States,Los Angeles,California,West,PROD-TEC-4633,Technology,Computers,Lenovo ThinkPad,1206.6,2,0.0,280.99
ORD-2021-00009,2021-01-07,2021-01-09,Same Day,CUST-0135,Joseph Thompson,Home Office,United States,Boulder,Colorado,West,PROD-OFF-1565,Office Supplies,Art,Markers Set,55.47,1,0.0,14.99
ORD-2023-00010,2023-12-23,2023-12-27,First Class,CUST-0166,Patricia Johnson,Corporate,United States,Miami,Florida,East,PROD-OFF-1800,Office Supplies,Art,Colored Pencils,50.84,1,0.2,4.82
ORD-2021-00011,2021-06-11,2021-06-17,Standard Class,CUST-0036,Jessica Garcia,Home Office,United States,San Francisco,California,West,PROD-FUR-8074,Furniture,Tables,Standing Desk,385.17,1,0.1,20.76
ORD-2022-00012,2022-03-10,2022-03-14,First Class,CUST-0354,Susan Martin,Consumer,United States,Pittsburgh,Pennsylvania,East,PROD-OFF-1694,Office Supplies,Binders,Presentation Folder,121.31,2,0.2,15.15
ORD-2021-00013,2021-02-13,2021-02-16,Second Class,CUST-0302,Maria Garcia,Consumer,United States,Grand Rapids,Michigan,Central,PROD-FUR-2026,Furniture,Storage,Filing Cabinet,235.49,1,0.0,23.4
ORD-2022-00014,2022-11-08,2022-11-13,Standard Class,CUST-0143,Robert Smith,Home Office,United States,San Diego,California,West,PROD-OFF-6972,Office Supplies,Paper,Photo Paper,28.35,1,0.0,7.82
ORD-2022-00015,2022-01-25,2022-02-01,Standard Class,CUST-0221,James Wilson,Corporate,United States,Charlotte,North Carolina,South,PROD-OFF-7317,Office Supplies,Fasteners,Tape Dispenser,65.71,3,0.3,4.46
ORD-2021-00016,2021-08-12,2021-08-17,Standard Class,CUST-0275,Joseph Thompson,Corporate,United States,Montgomery,Alabama,South,PROD-OFF-8243,Office Supplies,Paper,A4 Ream 500,67.26,1,0.2,5.32
ORD-2021-00017,2021-07-20,2021-07-27,Standard Class,CUST-0008,Linda Anderson,Consumer,United States,Boston,Massachusetts,East,PROD-FUR-2026,Furniture,Storage,Filing Cabinet,1669.2,4,0.0,189.5
ORD-2021-00018,2021-12-04,2021-12-10,Standard Class,CUST-0136,Jessica Garcia,Corporate,United States,Pittsburgh,Pennsylvania,East,PROD-FUR-2026,Furniture,Storage,Filing Cabinet,382.22,4,0.4,-95.24
ORD-2021-00019,2021-05-05,2021-05-08,Second Class,CUST-0026,Patricia Johnson,Home Office,United States,Grand Rapids,Michigan,Central,PROD-TEC-2686,Technology,Computers,HP Spectre,638.77,1,0.0,169.64
ORD-2022-00020,2022-04-27,2022-05-04,Standard Class,CUST-0127,David Martinez,Home Office,United States,New Orleans,Louisiana,South,PROD-TEC-1559,Technology,Phones,Samsung Galaxy S23,393.2,1,0.0,142.0
ORD-2022-00021,2022-05-04,2022-05-09,Standard Class,CUST-0344,Jennifer Davis,Home Office,United States,Denver,Colorado,West,PROD-FUR-7576,Furniture,Bookcases,Wall Bookcase,194.82,1,0.2,-2.39
ORD-2021-00022,2021-07-24,2021-07-29,Standard Class,CUST-0260,Karen Clark,Corporate,United States,Grand Rapids,Michigan,Central,PROD-TEC-7097,Technology,Phones,OnePlus 11,1536.68,2,0.1,259.31
ORD-2022-00023,2022-09-12,2022-09-17,Second Class,CUST-0271,William Jackson,Consumer,United States,Richmond,Virginia,East,PROD-TEC-0153,Technology,Accessories,USB Hub,574.22,1,0.3,8.77
ORD-2022-00024,2022-08-01,2022-08-06,Second Class,CUST-0176,Jessica Garcia,Consumer,United States,Houston,Texas,Central,PROD-FUR-7655,Furniture,Chairs,Ergonomic Chair,568.68,3,0.0,45.29
ORD-2021-00025,2021-04-01,2021-04-06,Standard Class,CUST-0327,David Martinez,Corporate,United States,Saint Paul,Minnesota,Central,PROD-FUR-7655,Furniture,Chairs,Ergonomic Chair,408.74,2,0.3,-87.2
ORD-2021-00026,2021-11-02,2021-11-06,Second Class,CUST-0299,Charles Lewis,Home Office,United States,Cambridge,Massachusetts,East,PROD-OFF-8243,Office Supplies,Paper,A4 Ream 500,67.96,1,0.3,-1.62
ORD-2021-00027,2021-03-23,2021-03-25,First Class,CUST-0350,Barbara Thomas,Consumer,United States,Boston,Massachusetts,East,PROD-TEC-0153,Technology,Accessories,USB Hub,1775.65,4,0.2,61.75
ORD-2021-00028,2021-12-29,2021-12-31,First Class,CUST-0092,Elizabeth White,Home Office,United States,Eugene,Oregon,West,PROD-OFF-0722,Office Supplies,Binders,3-Ring Binder,70.36,4,0.5,-8.92
ORD-2023-00029,2023-08-22,2023-08-28,Standard Class,CUST-0180,Karen Clark,Corporate,United States,Detroit,Michigan,Central,PROD-FUR-8074,Furniture,Tables,Standing Desk,548.24,1,0.0,85.26
ORD-2022-00030,2022-07-26,2022-08-02,Standard Class,CUST-0205,Michael Brown,Home Office,United States,Philadelphia,Pennsylvania,East,PROD-OFF-1694,Office Supplies,Binders,Presentation Folder,64.34,1,0.3,1.4
